Customer_id,First_Name,Last_Name,Email,Phone_number,City,Signup_date
CUST000002,Aditya,Verma,adityaverma2@gmail.com,9241821455,Mumbai,9/3/2024
CUST000003,Meena,Patel,meenapatel3@gmail.com,6467905056,Kolkata,1/11/2022
CUST000004,Aditya,Reddy,adityareddy4@gmail.com,6623519543,Mumbai,3/24/2024
CUST000005,Neha,Reddy,nehareddy5@gmail.com,8771845766,Delhi,3/11/2020
CUST000006,Priya,Reddy,priyareddy6@gmail.com,6064503225,Delhi,5/22/2019
CUST000007,Neha,Iyer,nehaiyer7@gmail.com,9398745097,Pune,7/19/2019
CUST000008,Aditya,Iyer,adityaiyer8@gmail.com,8203879490,Delhi,12/15/2023
CUST000009,Karthik,Singh,karthiksingh9@gmail.com,6730473887,Mumbai,4/7/2021
CUST000010,Sneha,Verma,snehaverma10@gmail.com,6984698970,Kolkata,6/18/2019
CUST000011,Priya,Mehta,priyamehta11@gmail.com,6990448068,Delhi,1/3/2022
CUST000012,Ravi,Gupta,ravigupta12@gmail.com,7664459199,Pune,2/27/2020
CUST000013,Sneha,Gupta,snehagupta13@gmail.com,7627736817,Pune,3/1/2019
CUST000014,Karthik,Singh,karthiksingh14@gmail.com,8553469126,Pune,10/8/2019
CUST000015,Pooja,Khan,poojakhan15@gmail.com,6957327192,Bangalore,3/6/2023
CUST000016,Meena,Sharma,meenasharma16@gmail.com,8155386777,Chennai,8/6/2022
CUST000017,Divya,Mehta,divyamehta17@gmail.com,9816311775,Delhi,1/7/2024
CUST000018,Priya,Verma,priyaverma18@gmail.com,9232251806,Chennai,7/5/2023
CUST000019,Sneha,Iyer,snehaiyer19@gmail.com,9257295398,Hyderabad,6/19/2020
CUST000020,Pooja,Gupta,poojagupta20@gmail.com,8681835279,Bangalore,8/22/2019
CUST000021,Divya,Patel,divyapatel21@gmail.com,9525869428,Bangalore,3/10/2024
CUST000022,Rahul,Patel,rahulpatel22@gmail.com,9924699368,Delhi,6/16/2022
CUST000023,Meena,Singh,meenasingh23@gmail.com,6177491142,Hyderabad,2/12/2021
CUST000024,Sneha,Das,snehadas24@gmail.com,6262071902,Chennai,9/4/2024
CUST000025,Sneha,Sharma,snehasharma25@gmail.com,6948982689,Bangalore,1/1/2024
CUST000026,Amit,Khan,amitkhan26@gmail.com,8951160064,Pune,8/4/2019
CUST000027,Ravi,Patel,ravipatel27@gmail.com,9013287217,Kolkata,12/23/2022
CUST000028,Sneha,Reddy,snehareddy28@gmail.com,8082368355,Chennai,9/27/2019
CUST000029,Ravi,Sharma,ravisharma29@gmail.com,8340010976,Pune,12/7/2020
CUST000030,Meena,Patel,meenapatel30@gmail.com,9910637964,Kolkata,10/16/2023
CUST000031,Amit,Verma,amitverma31@gmail.com,7454342393,Pune,11/6/2021
CUST000032,Sneha,Sharma,snehasharma32@gmail.com,9348754970,Hyderabad,12/6/2021
CUST000033,Ravi,Mehta,ravimehta33@gmail.com,8774728160,Pune,12/22/2023
CUST000034,Anil,Reddy,anilreddy34@gmail.com,9711926876,Delhi,3/11/2024
CUST000035,Sneha,Singh,snehasingh35@gmail.com,6017592309,Kolkata,5/17/2021
CUST000036,Pooja,Singh,poojasingh36@gmail.com,8765073572,Hyderabad,10/13/2023
CUST000037,Sneha,Reddy,snehareddy37@gmail.com,6354964783,Chennai,7/15/2019
CUST000038,Anil,Sharma,anilsharma38@gmail.com,6976114957,Bangalore,5/23/2021
CUST000039,Amit,Mehta,amitmehta39@gmail.com,9135784263,Mumbai,11/27/2020
CUST000040,Sneha,Patel,snehapatel40@gmail.com,8216112489,Delhi,1/25/2022
CUST000041,Amit,Iyer,amitiyer41@gmail.com,9404358234,Delhi,5/22/2021
CUST000042,Ravi,Das,ravidas42@gmail.com,7534236397,Chennai,2/16/2022
CUST000043,Rahul,Patel,rahulpatel43@gmail.com,7324359101,Pune,6/10/2024
CUST000044,Amit,Sharma,amitsharma44@gmail.com,6737432575,Pune,6/1/2021
CUST000045,Meena,Mehta,meenamehta45@gmail.com,8908472353,Mumbai,8/1/2023
CUST000046,Meena,Gupta,meenagupta46@gmail.com,6098151347,Chennai,7/9/2021
CUST000047,Meena,Das,meenadas47@gmail.com,9271644199,Hyderabad,9/20/2024
